BratislavaI-V;Celkovavymerauzemiaobce-mesta(vm2);367497182;367497182;367520138;367520138;367521977;367584374;367584374;367584374;367584374;367584374;367584374;367584217;367660755;367660843;367660843;367660843;367627122;367627172;367627172;367627172;367627172;367627172;
;PolnohospodarskaPoda-spolu(vm2);148866782;148620689;148462318;147992398;147998235;147815469;147239769;147063114;146391434;145341589;144601852;143991976;141715714;140648815;140183871;139307485;138510917;137717394;137339703;136869677;135422773;134815096;
;PolnohospodarskaPoda-ornaPoda(vm2);112102734;111745299;111454693;112076820;112160728;112190347;111686713;111547973;109308905;107665702;107862017;107288299;105302354;104412613;104100614;103301321;102613980;101962142;101744662;101458449;100101585;99737716;
;PolnohospodarskaPoda-chmelnica(vm2);343;343;348;424;829;749;752;752;339;339;325;518;325;325;325;325;325;325;325;325;325;325;
;PolnohospodarskaPoda-vinica(vm2);8647285;8541290;8405052;8138045;8109109;8096740;8104659;8072108;7956348;7904739;7756556;7720999;7601950;7252141;6840678;6847135;6665606;6431363;6244815;6212064;6193072;6055833;
;PolnohospodarskaPoda-zahrada;18542098;18375959;18257872;18331696;18321790;18228487;18217335;18229878;18194971;18019908;18088410;18110518;18025368;17931322;18028113;18065782;18044500;17982611;17908578;17814637;17742199;17650071;
;PolnohospodarskaPoda-ovocnysad(vm2);5202232;5559481;5814981;4905450;4901290;4806994;4807390;4800870;3873130;3853671;3076844;3069431;3042969;3041539;2905004;2787276;2765128;2750585;2743825;2740539;2739727;2739335;
;PolnohospodarskaPoda-trvalytravnyporast(vm2);4372090;4398317;4529372;4539963;4504489;4492152;4422920;4411533;7057741;7897230;7817700;7802211;7742748;8010875;8309137;8305646;8421378;8590368;8697498;8643663;8645865;8631816;
;NepolnohospodarskaPoda-spolu;218630400;218876493;219057820;219527740;219523742;219768905;220344605;220521260;221192940;222242785;222982522;223592241;225945041;227012028;227476972;228353358;229116205;229909778;230287469;230757495;232204399;232812076;
;NepolnohospodarskaPoda-lesnypozemok(vm2);81275861;81055589;81055104;81051701;81071816;81024897;81038449;81093185;81043871;81010018;80986284;80987223;80942038;80974468;80962152;80947896;80947910;80861613;80898513;80893662;80896042;80696965;
;NepolnohospodarskaPoda-vodnaplocha(vm2);15138553;15123293;15098327;15086089;14757938;14756639;14724194;14721570;14693594;14765600;14773582;17107835;17141327;17149062;17876714;17883353;17858062;17847033;17849300;18375259;18368502;18541945;
;NepolnohospodarskaPoda-zastavanaplochaanadvorie(vm2);60722752;60069650;59728902;59918527;60488908;61697479;62985567;67180291;68139182;69926323;70711268;72310347;73504677;74083991;74613845;75184894;75282296;75851279;76233628;77016295;77424457;77846566;
;NepolnohospodarskaPoda-ostatnaplocha(vm2);61493234;62627961;63175487;63471423;63205080;62289890;61596395;57526214;57316293;56540844;56511388;53186836;54356999;54804507;54024261;54337215;55027937;55349853;55306028;54472279;55515398;55726600;
Bratislava-StareMesto;Celkovavymerauzemiaobce-mesta(vm2);9590124;9590124;9590124;9590124;9590124;9590124;9590124;9590124;9590124;9590124;9590124;9590124;9590124;9590124;9590124;9590124;9590124;9590124;9590124;9590124;9590124;9590124;
;PolnohospodarskaPoda-spolu(vm2);1889747;1864483;1886154;1856601;1817931;1810720;1791851;1780113;1768960;1780453;1744026;1739115;1721446;1713128;1703404;1687041;1678902;1673909;1665631;1652235;1642851;1639321;
